"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         154,      -8.933736059,      -8.920843003,      -9.883834067,       -9.58071743,      -8.965479803,      -10.49766114
          0,           0,         155,      -8.942891594,      -8.931510415,      -9.902991199,      -9.589223384,      -8.974509077,      -10.49766045
          0,           0,         156,      -8.951884783,      -8.941941329,      -9.921707986,      -9.597457427,      -8.983335708,      -10.49765984
          0,           0,         157,      -8.960798802,      -8.952232777,      -9.940003035,      -9.605442056,       -8.99203695,      -10.49765927
          0,           0,         158,       -8.96946102,      -8.962216463,       -9.95775933,      -9.613279693,      -9.000489444,      -10.49765877
          0,           0,         159,      -8.977909393,      -8.972044141,      -9.975000168,      -9.620057329,      -9.008711128,      -10.49765835
          0,           0,         160,      -8.985947127,      -8.981282532,      -9.991527938,      -9.626633042,      -9.016526868,      -10.49765819
          0,           0,         161,      -8.993608018,      -8.989979589,      -10.00748891,       -9.63309011,      -9.023946572,      -10.49765787
          0,           0,         162,      -9.000875506,      -8.998250011,      -10.02285738,      -9.639454572,      -9.030951305,      -10.49765743
          0,           0,         163,       -9.00783057,      -9.006118696,      -10.03760467,      -9.645649351,      -9.037600182,      -10.49765737
          0,           0,         164,      -9.014693484,       -9.01381193,      -10.05175783,      -9.651665682,      -9.044082074,      -10.49765742
          0,           0,         165,      -9.021267545,      -9.021058181,      -10.06517337,      -9.657486288,      -9.050266931,      -10.49765683
          0,           0,         166,      -9.027721142,      -9.026149379,      -10.07747948,      -9.661559847,      -9.056304229,      -10.49765675
          0,           0,         167,      -9.033793336,      -9.009506647,      -10.08234796,       -9.65045387,      -9.062003134,      -10.49765592
          0,           0,         168,      -9.036317653,      -8.885872309,      -10.04215736,      -9.560586777,      -9.064816242,      -10.49765454
          0,           0,         169,      -9.015676639,      -8.973166735,      -10.08523524,      -9.639215964,      -9.050125436,      -10.49765482
          0,           0,         170,      -9.024406487,      -8.934016521,      -10.07085543,      -9.634142874,      -9.056434972,      -10.49765425
          0,           0,         171,      -9.024064265,      -8.955683624,      -10.07657637,      -9.653298467,      -9.055851133,       -10.4976541
          0,           0,         172,      -9.025911304,      -8.996537453,       -10.0836785,      -9.668028874,      -9.057144145,      -10.49765421
          0,           0,         173,      -9.033361436,      -9.024568795,       -10.0820795,      -9.672998016,      -9.063280445,      -10.49765439
          0,           0,         174,      -9.040251529,      -9.035678407,      -10.07658326,      -9.676066042,      -9.069393989,      -10.49765466
          0,           0,         175,      -9.044775385,      -9.036994397,      -10.07023548,      -9.679033044,      -9.073666757,      -10.49765505
          0,           0,         176,      -9.048673308,      -9.038581151,      -10.06560998,      -9.685483731,       -9.07726235,      -10.49765403
          0,           0,         177,      -9.053865246,      -9.046966699,      -10.06438735,      -9.691709053,      -9.081667636,      -10.49765338
          0,           0,         178,      -9.061383025,      -9.053702984,      -10.06454607,      -9.697281085,      -9.087737637,      -10.49765323
          0,           0,         179,      -9.068087101,       -9.06012903,      -10.06629675,      -9.701088755,       -9.09329206,      -10.49765308
          0,           0,         180,      -9.073935811,      -9.065918951,      -10.06880924,      -9.704680866,      -9.098270936,      -10.49765291
          0,           0,         181,      -9.079560466,      -9.071559188,       -10.0714551,      -9.708238089,      -9.103189775,       -10.4976528
          0,           0,         182,       -9.08546123,      -9.077417214,      -10.07433567,      -9.711930996,      -9.108514361,      -10.49765272
          0,           0,         183,      -9.091652448,       -9.08318002,      -10.07769451,      -9.715976839,      -9.114285217,      -10.49765255
          0,           0,         184,       -9.09824793,      -9.089452911,      -10.08219801,      -9.720825364,      -9.120562834,      -10.49765246
          0,           0,         185,      -9.105383916,       -9.09628878,      -10.08801399,      -9.726532208,      -9.127388748,      -10.49765242
          0,           0,         186,      -9.113132717,      -9.103466609,      -10.09500783,       -9.73292894,      -9.134791999,      -10.49765216
          0,           0,         187,      -9.121575718,      -9.111411175,      -10.10303208,      -9.740136037,      -9.142826706,      -10.49765185
          0,           0,         188,      -9.130292335,      -9.119847801,      -10.11159244,      -9.748046323,      -9.151150421,      -10.49765156
          0,           0,         189,      -9.139396226,       -9.12840069,      -10.12063376,      -9.756275508,      -9.159844512,      -10.49765084
          0,           0,         190,       -9.14867499,      -9.137178299,      -10.13006259,      -9.764933586,       -9.16873983,      -10.49764896
          0,           0,         191,      -9.157983564,      -9.147434393,      -10.14002872,      -9.773417503,      -9.177723013,      -10.49764683
          0,           0,         192,      -9.167680883,      -9.150385836,      -10.14885787,      -9.775148619,      -9.187045864,      -10.49764585
          0,           0,         193,      -9.176277307,      -9.163908894,      -10.16034814,      -9.790898531,      -9.195664285,      -10.49764462
          0,           0,         194,      -9.186121238,      -8.937013513,      -10.10032498,      -9.519662738,      -9.205105053,      -10.49764346
          0,           0,         195,      -9.155001528,      -9.141646342,      -10.17615233,      -9.702383913,      -9.185695241,      -10.49764592
          0,           0,         196,      -9.181870295,      -9.181024824,      -10.18946099,      -9.785631708,      -9.206647808,      -10.49764861
          0,           0,         197,      -9.206575495,      -9.197973532,      -10.19724524,      -9.815463802,      -9.227073983,      -10.49764931
          0,           0,         198,      -9.216341058,      -9.206780763,      -10.20700854,      -9.831184247,      -9.236483222,      -10.49764978
          0,           0,         199,      -9.225241263,      -9.215200985,      -10.21392733,      -9.843325297,      -9.244761512,      -10.49764999
          0,           0,         200,      -9.233599244,      -9.222676731,      -10.22064415,      -9.851615308,      -9.252663936,      -10.49764994
          0,           0,         201,      -9.241731024,      -9.230298097,      -10.22900168,      -9.859375752,      -9.260460568,       -10.4976499
          0,           0,         202,      -9.249950475,      -9.238515269,       -10.2381466,      -9.867223319,      -9.268353792,      -10.49764984
          0,           0,         203,      -9.258158509,      -9.245339333,      -10.24681364,      -9.873692102,      -9.276280657,      -10.49764961
          0,           0,         204,       -9.26602199,      -9.251838059,      -10.25498379,      -9.880198324,      -9.283991274,      -10.49764941
          0,           0,         205,      -9.273219131,      -9.260443803,      -10.26307415,       -9.88807185,      -9.291201002,       -10.4976493
          0,           0,         206,      -9.280370469,      -9.267580439,      -10.27070927,      -9.894692213,      -9.298320947,       -10.4976491
          0,           0,         207,      -9.287254815,      -9.271936668,      -10.27787934,      -9.899673499,      -9.305173024,      -10.49764878
          0,           0,         208,      -9.293501854,      -9.278715203,      -10.28554496,      -9.906809382,      -9.311478224,      -10.49764856
          0,           0,         209,       -9.29979023,      -9.285461832,      -10.29313561,      -9.913383455,      -9.317740983,      -10.49764829
          0,           0,         210,      -9.305992656,      -9.272535426,      -10.29683524,      -9.903836137,      -9.323835594,       -10.4976477
          0,           0,         211,      -9.309244028,      -9.251356066,      -10.29803876,      -9.895203224,      -9.327578363,      -10.49764736
          0,           0,         212,      -9.308005369,      -9.237634298,      -10.29901239,      -9.896990623,      -9.327738382,      -10.49764729
          0,           0,         213,      -9.305782126,        -9.2817738,      -10.31002378,      -9.922217231,       -9.32698842,       -10.4976462
          0,           0,         214,      -9.314913621,      -9.289405597,       -10.3111042,      -9.933178194,      -9.334623537,      -10.49764575
          0,           0,         215,       -9.32075543,      -9.298492123,      -10.31216851,       -9.93961119,      -9.339964594,      -10.49764527
          0,           0,         216,      -9.325039845,      -9.302149345,      -10.31165562,      -9.944159023,      -9.344090623,      -10.49764518
          0,           0,         217,      -9.328586994,      -9.284511718,      -10.30683723,      -9.930703308,      -9.347541888,      -10.49764442
          0,           0,         218,      -9.329207503,       -9.29123575,      -10.30623278,      -9.944787897,      -9.348661407,      -10.49764405
          0,           0,         219,      -9.331102974,      -9.300378864,      -10.30525778,      -9.952323341,      -9.350726478,      -10.49764364
          0,           0,         220,      -9.335206055,      -9.266929992,      -10.29647633,      -9.919770012,      -9.354372801,      -10.49764294
